Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
2,Infosys,3.3,6,26,17,27,20,16,12,12,5,,,4,145,2017,0.612676056
3,WIPRO,3.3,8,22,12,15,10,4,8,26,8,,,,113,2017,0.477464789
4,Accenture,3.5,22,38,29,31,24,12,24,32,16,,6,,234,2017,1.04865557
5,L & T ECC,5.11,,8,3,7,12,,,4,,,,2,36,2017,0.235544174
6,Vedanta,7.95,9,3,5,8,,,1,,3,,,,29,2017,0.295198464
7,MSIL,6.4,,1,,4,,,,,,,,,5,2017,0.040973111
8,Kreeti,4.2,,,,,,1,,,,,,,1,2017,0.005377721
9,Deloitte,6.2,,,2,,,3,2,9,,,,1,17,2017,0.134955186
10,Aptus Data Labs,4.5,,,,,,4,2,,,,,,6,2017,0.034571063
11,TATA STEEL,10.11,,2,,2,,,,,2,,,,6,2017,0.077669654
12,Tech Mahindra,3.25,,5,3,17,,3,7,8,,,,,43,2017,0.17893726
13,Aditya Birla Group,6,2,2,,2,,,,,,,,,6,2017,0.04609475
14,Hyundai motors,6.4,,1,,1,,,,,,,,,2,2017,0.016389245
15,JMC Infra ,3.05,,,,,4,,,,,,,,4,2017,0.015620999
16,POMPEII Technology,3,6,3,3,10,11,11,5,8,3,,,6,66,2017,0.253521127
17,Pradan,5.4,3,,,,5,,1,1,1,,,,11,2017,0.076056338
18,Surya International,1.8,,2,,,1,,,,,,,,3,2017,0.006914213
19,PERFECT VIPs,2.16,,,,,,,,3,,,,5,8,2017,0.02212548
20,GyanSys,3.6,,,,,,1,,3,,,,,4,2017,0.0184379
21,Bhusan power and steel,2.64,3,3,,8,,,,,4,,,,18,2017,0.06084507
22,ICT Health India,3.5,,,,,,1,1,,,,4,,6,2017,0.026888604
23,Mindfire solution,4.54,,,,,,1,,,,,,,1,2017,0.00581306
24,amdocs,3.3,,,,,,,1,,,,,,1,2017,0.004225352
25,DK Consultancy,1.8,,,,,2,,,,,,,,2,2017,0.004609475
26,Russala ,3.6,,1,,,,,,,,,,,1,2017,0.004609475
27,Nalco Water House,4.55,,,,4,,,,,,,,,4,2017,0.023303457
28,Sankalp Semiconductor,3.5,,,,,,,,2,,,,,2,2017,0.008962868
29,PRDC,2.5,,,,,,,,,,,,1,1,2017,0.003201024
30,PADECO,3,,,,,,,,,,3,,,3,2017,0.011523688
31,IIT Reseach fellow,3.36,,,,,,,,,,,,1,1,2017,0.004302177
32,GUEST FACULTY,3.6,,,,,,,,,,,,2,2,2017,0.00921895
