Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,Deloitte,6.2,,,6,,,5,1,8,,,,,20,2018,0.256198347
2,L&T Technology services,4.5,,,1,4,,,,1,,,,,6,2018,0.055785124
3,L&T ECC,6.6,,2,1,,9,,,,,,,4,16,2018,0.218181818
4,Tata Steel,10.2,,1,,2,,,,,,,,1,4,2018,0.084297521
5,Aptus Data Labs,4,,,,,,1,,,,,,,1,2018,0.008264463
6,Accenture,3.5,5,34,11,34,13,14,10,30,7,7,2,,167,2018,1.207644628
7,Infosys,3.3,2,18,8,12,5,23,11,16,8,2,1,3,109,2018,0.743181818
8,Wipro,3.3,,7,3,4,,10,7,11,5,,,,47,2018,0.320454545
9,Maruti,6.4,,2,,7,,,,,,,,,9,2018,0.119008264
10,Aditya Birla,6,,,,5,,,,,,3,,,8,2018,0.099173554
11,Collabera,3.3,,1,,,,,,2,,,,,3,2018,0.020454545
12,GyanSys,3.6,,,,,,1,1,,,,,,2,2018,0.014876033
13,VEDANTA,7.95,4,3,3,4,,,,,2,5,,,21,2018,0.344938017
14,Perfect Vips,3.6,,,,,,,,3,,,,5,8,2018,0.059504132
15,CSM,1.8,,,,,,,,,,,1,,1,2018,0.003719008
16,ESSPL,2.53,,,,,,,,1,,,,,1,2018,0.005227273
17,Pradan,5.4,,3,1,3,3,,,1,1,1,,,13,2018,0.145041322
18,Mindfire Solutions,4.54,,,,,,1,1,,,,,,2,2018,0.018760331
19,Health Asyst,4,,,,,,,1,,,,,,1,2018,0.008264463
20,CERIUM SYSTEM,3.1,,,,,,,,2,,,,,2,2018,0.012809917
21,INTEL,9.6,,,,,,,,1,,,,,1,2018,0.019834711
22,HIGHER MATRIX,2.4,,,,1,1,,2,,3,,,,7,2018,0.034710744
23,TRL,4.65,3,,,4,,1,,,,,1,,9,2018,0.086466942
24,JSPL,3.6,,,,,,,,,,2,,,2,2018,0.014876033
25,CAPITAL AIM,4.07,,1,,2,,1,1,1,,,1,,7,2018,0.058863636
26,"Bhusan Power and 
Steel",3.6,3,,,5,,,,,,2,,,10,2018,0.074380165
27,KPIT ,3.25,,,1,,,,,,,,,,1,2018,0.006714876
28,(Guest Faculty),3,,,,,,,,,,,,1,1,2018,0.006198347
29,SM CONSULTANTS,2.4,,,,,1,,,,,,,,1,2018,0.004958678
30,"MKCL (maharastra
knowledge corp. Ltd)",4,,,,,,,1,,,,,,1,2018,0.008264463
31,JMC,3.6,,,,,,,,,,,,1,1,2018,0.007438017
32,Bridge and roof,3.36,,,,,2,,,,,,,,2,2018,0.013884298
