Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,Nineleaps,4.5,,,,,,2,,2,,,,,4,2020,0.026200873
2,Gyansys,4.5,,3,,,,2,1,2,,,,,8,2020,0.052401747
3,TATA STEEL (PPO),10.11,,,,1,,,,,,,,,1,2020,0.014716157
4,DELOITTE,7.6,,2,3,,,9,1,,,,,,15,2020,0.165938865
5,KREETI TECHNOLOGIES,6,,,,,,3,1,2,,,,,6,2020,0.052401747
6,INFOSYS (HACKWITHINFY),5,,,,,,3,2,1,,,,,6,2020,0.043668122
7,TATA STEEL BSL,4.8,1,2,,2,,,,,,,,,5,2020,0.034934498
8,JARO EDUCATION,5.16,,,,,,,,,,2,,,2,2020,0.015021834
9,INFOSYS,3.6,6,26,12,12,11,11,9,29,4,7,3,10,140,2020,0.733624454
10,COGNIZANT,4.56,8,18,18,17,6,13,11,17,6,9,,6,129,2020,0.856244541
11,ACCENTURE,4.5,3,24,13,10,9,15,13,24,12,5,3,,131,2020,0.858078603
12,TCS,3.36,2,21,8,10,7,16,11,24,8,2,4,7,120,2020,0.586899563
13,L&T ECC,6.27,,4,,,9,,,,,,,,13,2020,0.118646288
14,IBM,4.5,,,,,,,1,1,,,,,2,2020,0.013100437
15,COGNIZANT (CYBERSECURITY),5.4,,,,,,4,2,,,,,,6,2020,0.047161572
16,MACLEODS,,,,,,,,,,,5,,,5,2020,0
17,Aditya Birla Group,6.6,6,6,,12,,,1,,,7,,,32,2020,0.307423581
18,WIPRO,3.5,,,,,,,1,,,,,,1,2020,0.005094614
19,PRADAN,7.2,2,,,2,,,,2,2,,,,8,2020,0.083842795
20,HCL,3.5,,,1,,,,,,,,,,1,2020,0.005094614
21,JK PAPER,4.5,,,,,,,,,,3,,,3,2020,0.019650655
22,MARUTI SUZUKI,10.1,,3,,4,,,,,,,,,7,2020,0.102911208
23,L&T Techgium,4,,3,1,4,,,,3,,,,,11,2020,0.064046579
24,Credit Suisse,10.81,,,,,,2,1,,,,,,3,2020,0.04720524
25,TRL,4.65,,,,1,,,,,,,,,1,2020,0.006768559
26,WINDMOLLER,3.5,,1,,,,,,,,,,,1,2020,0.005094614
27,Kodnest,7.42,,,,,,,1,1,,,,,2,2020,0.021601164
28,Cognizant Infrastructure services,4.1,,1,,1,,,,,1,,,,3,2020,0.01790393
29,SG Analytics,7.25,,,,,,1,,,,,,,1,2020,0.01055313
30,Amazon,15,,,,,,1,,,,,,,1,2020,0.021834061
31,BYJUS,10.1,,1,,,2,,,,,2,,,5,2020,0.073508006
32,INTEL,10.06,,,,,,,,2,,,,,2,2020,0.029286754
33,EXTENTIA,4.8,,,,,,1,,,,,,,1,2020,0.0069869
34,RUNAYA REFINERY,5.5,,,,1,,,,,,,,,1,2020,0.008005822
35,TRISYS,5,,,,1,,,,,,,,1,2,2020,0.014556041
36,SHYAM METALLICS,3.6,2,1,,1,,,,,,,,,4,2020,0.020960699
