Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,Infosys Ltd,3.25,,23,13,32,19,20,17,42,22,,,8,196,2014,1.789325843
2,WIPRO,2.8,,18,9,3,,15,4,13,11,,1,1,75,2014,0.58988764
3,Sankalpa,3,,,1,,,,,,,,,,1,2014,0.008426966
4,L & T,5,,,,7,17,,,,,,,2,26,2014,0.365168539
5,MarutiSuzuki,5.04,,,1,3,,,,,,,,,4,2014,0.056629213
6,IBM Ltd,3.46,,5,,5,1,3,1,3,4,,,4,26,2014,0.252696629
7,TRL,3.06,,1,,3,,,,,,,,,4,2014,0.034382022
8,Argue,5,,,,,,1,,,,,,,1,2014,0.014044944
9,Voistree,3,,,,,,1,,,,,,,1,2014,0.008426966
10,Pradan,2.64,,,1,2,1,2,2,2,4,,,,14,2014,0.103820225
11,PPL,3.02,,1,,,,,,,,,,,1,2014,0.008483146
12,Tech Mahindra,2.8,,,2,2,2,,,1,,,,,7,2014,0.05505618
